编号 病种分类 病证名 中医症状 中医证型 状态要素 中药 经方
69 X心系病证 胸痹心痛 心痛,有气上冲心胸,口渴,饥不欲食,呕吐,泄泻 厥阴肝热证 热,寒,肝,胃,肠,胸膈 乌梅,黄连,细辛,干姜,当归,黄柏,桂枝,人参,炮附子,蜀椒 乌梅丸
70 X心系病证 胸满 胸满,胸闷,气短,脉促 胸阳不足证 外风,寒,表,胸膈,阳郁,气虚,气滞 桂枝,生姜,炙甘草,大枣 桂枝去芍药汤
71 X心系病证 胸满 胸满,胁痛,口苦,咽干 胆热气郁证 胸膈,半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
72 X心系病证 胸满 胸满,心烦,小便不利,谵语,身重 少阴心热证 胸膈,半表半里,热,心神,膀胱 柴胡,龙骨,黄芩,生姜,铅丹,人参,桂枝,茯苓,半夏,大黄,牡蛎,大枣 柴胡加龙骨牡蛎汤
73 X心系病证 胸满 胸满,泄泻,咽痛,手足热 阴虚内热证 胸膈,肾,咽,阴虚 猪肤 猪肤汤
74 P脾胃系病证 便秘 不大便,谵语,身体枯燥不荣,手足躁扰不宁 气血两燔证 燥屎,热,毒,阴虚,津亏,肠 知母,石膏,甘草,粳米 白虎汤
75 P脾胃系病证 便秘 不大便,心烦,腹胀,腹痛 热结宿食证 燥屎,热,肠,心神 大黄,厚朴,枳实,芒硝 大承气汤
76 P脾胃系病证 便秘 不大便,汗出,谵语,潮热 阳明热结轻证 热,燥屎,肠,气虚,血虚 大黄,厚朴,枳实 小承气汤
77 P脾胃系病证 便秘 不大便,潮热,谵语,腹痛,汗出 阳明热结重证 热,燥屎,胃,肠 大黄,厚朴,枳实,芒硝 大承气汤
78 P脾胃系病证 便秘 不大便,小便多 脾约证 热,胃,脾,膀胱,阴虚,津亏,肠,燥 麻仁,芍药,枳实,大黄,厚朴,杏仁 麻子仁丸
79 P脾胃系病证 便秘 不大便,腹胀,腹痛,口渴,舌燥,潮热 实热结胸证 胸膈,热,燥屎,胃,肠 大黄,芒硝,甘遂 大陷胸汤
80 P脾胃系病证 便秘 大便干硬,小便不利,呕吐 胃热盛证 胃,肠,膀胱,热,燥屎,津亏,阳亢,阳虚,气虚 知母,石膏,甘草,粳米 白虎汤
81 P脾胃系病证 便秘 大便干硬,头汗出,手足冷,腹胀,不欲食,口苦 胆热气郁证 燥屎,半表半里,胆,热,气滞 柴胡,黄芩,人参,半夏,炙甘草,生姜,大枣 小柴胡汤
82 P脾胃系病证 便秘 大便干硬,骨节疼痛,心烦,不呕,不渴 阳虚肌痹证 燥屎,阳虚,寒,湿,肌肤,脾 炮附子,白术,生姜,大枣,炙甘草 桂枝附子去桂加白术汤
83 P脾胃系病证 便秘 大便干硬,汗出,谵语 阳明热结轻证 热,燥屎,胃,肠 大黄,厚朴,枳实 小承气汤
84 P脾胃系病证 便秘 大便干硬,手足汗出,谵语 阳明热结重证 热,燥屎,胃,肠 大黄,厚朴,枳实,芒硝 大承气汤
