编号 病种分类 病证名 中医症状 中医证型 状态要素
190 S肾系病证 淋证 小便不利,身黄,目黄,小便黄 湿热黄疸证 外风,寒,饮,热,表,胸膈,肝,胆,膀胱,湿 
191 S肾系病证 淋证 小便不利,腹胀,发热,无汗 脾胃水气证 饮,阳郁,胃,膀胱 
192 S肾系病证 淋证 小便不利,泄泻,腹痛,大便脓血 阳虚滑脱证 脾,肾,膀胱,阳虚,气虚,动血 
193 S肾系病证 淋证 小便不利,身热,汗出,口渴,心烦,脉浮 膀胱水气证 饮,热,燥,津亏,膀胱,胃 
194 S肾系病证 淋证 小便不利,头汗出,胸胁满,口渴,心烦 胆热水气证 半表半里,胆,膀胱,阳郁,饮 
195 S肾系病证 淋证 小便不利,发热,口渴,脉浮 水热津伤证 热,阴虚,饮,膀胱 
196 S肾系病证 淋证 小便不利,口渴,心烦 脾胃水气痞证 饮,脾,胃,膀胱 
197 S肾系病证 淋证 小便不利,骨节疼痛,心烦,不呕,不渴 阳虚肌痹证 外风,寒,湿,阳虚,肌肤,膀胱 
198 S肾系病证 淋证 小便不利,骨节疼痛,心烦,汗出,气短 阳虚骨痹证 外风,寒,湿,阳虚,关节,膀胱 
199 S肾系病证 淋证 小便不利,手足汗出,不欲食,大便先干后稀 虚寒痼瘕证 胃,肠,膀胱,阳虚 
200 S肾系病证 淋证 小便不利,身重,身痛,腹痛 阳虚水泛证 肾,膀胱,阳虚,饮,寒 
201 S肾系病证 淋证 小便多,汗出,干呕,心烦,怕冷,腿脚抽搐挛急 阴阳两虚证 膀胱,肾,心神,表,外风,寒,热,燥,津亏,阳虚,阴虚 
202 S肾系病证 淋证 小便多,不大便 太阴脾约证 热,胃,脾,膀胱,阴虚,津亏,肠,燥屎 
203 S肾系病证 淋证 小便多,大便干,心烦 阳明热结轻证 津亏,燥,热,心神,膀胱 
204 S肾系病证 淋证 小便难,胁下满,身黄 脾胃虚寒证 脾,胃,阳虚,湿,外风,寒,膀胱 
205 S肾系病证 淋证 小便难,心烦,头晕,目眩,腹胀,脉迟 虚寒谷疸证 寒,脾,胃,膀胱 
206 S肾系病证 淋证 小便难,咳嗽,泄泻,谵语,肌肤浮肿 水气热证 膀胱,肾,肠,肺,肌肤,阳虚,饮,寒,心神,津亏
207 S肾系病证 淋证 小便难,汗出,怕风,四肢屈伸不利 阳气虚弱证 膀胱,外风,表,经络,阳虚
208 Z内科杂病 痹证 骨节疼痛,小便不利,心烦,汗出,气短 阳虚骨痹证 外风,阳虚,寒,湿,关节,经络
209 Z内科杂病 痹证 骨节疼痛,发热,怕冷,身痛 太阳伤寒证 外风,寒,表,关节
210 Z内科杂病 痹证 骨节疼痛,发热,汗出,小便不利,脉紧 水湿郁表证 饮,湿,表,关节
211 Z内科杂病 痹证 骨节疼痛,身痛,手足冷,脉沉 寒湿体痛证 心,肾,阳虚,寒,湿,关节
212 Z内科杂病 痹证 项背强硬,汗出,恶风 太阳柔痉证 外风,寒,表,经络
213 Z内科杂病 痹证 项背强硬,无汗,恶风 太阳刚痉证 外风,寒,表,经络
214 Z内科杂病 痹证 项背强硬,汗出,胸痛 痰热结胸证 痰,热,胸膈
215 Z内科杂病 耳疾 耳聋,气喘,心悸 心阳虚证 寒,饮,肺,心,肾,阳虚
216 Z内科杂病 耳疾 耳聋,胸满,心烦,目红 少阳胆热气郁证 半表半里,胆,热,气滞
217 Z内科杂病 寒证 怕冷,身体蜷卧,泄泻,手足冷 阴盛无阳证 心,肾,亡阳
218 Z内科杂病 寒证 怕冷,泄泻,脉微 阳虚液竭证 阳虚,津亏
219 Z内科杂病 寒证 怕冷,汗出,发热,四肢屈伸不利,手足冷,呕吐,泄泻 阳虚阴盛证 阳虚,胃,肠
220 Z内科杂病 寒证 身体蜷卧,心烦 少阴寒证 心,肾,亡阳
221 Z内科杂病 寒证 身体蜷卧,泄泻,怕冷,手足热 少阴阳虚重证 心,肾,亡阳
222 Z内科杂病 寒证 身体蜷卧,怕冷,脉弱,心烦 少阴阳绝神亡证 心,肾,亡阳
223 Z内科杂病 寒证 身体蜷卧,泄泻,怕冷,手足冷 少阴阴盛无阳证 心,肾,亡阳
224 Z内科杂病 寒证 手足冷,头痛,干呕 阳明寒证 胃,阳虚,饮
